Series_reference,Period,Data_value,Date
BDCQ.SEA1AA,2011.06,80078,20/20/2000
BDCQ.SEA1AA,2011.09,78324,12/12/2003
BDCQ.SEA1AA,2011.12,85850,1/12/2024
BDCQ.SEA1AA,2012.03,90743,
BDCQ.SEA1AA,2012.06,81780,20201226
BDCQ.SEA1AA,2012.09,79261,
BDCQ.SEA1AA,2012.12,87793,
BDCQ.SEA1AA,2013.03,91571,
BDCQ.SEA1AA,2013.03,91571,
BDCQ.SEA1AA,2013.09,81471,
BDCQ.SEA1AA,2013.12,93950,
BDCQ.SEA1AA,2014.03,97208,
BDCQ.SEA1AA,2014.06,85879,
BDCQ.SEA1AA,2014.09,84447,
BDCQ.SEA1AA,2014.12,95075,
BDCQ.SEA1AA,2015.03,,
BDCQ.SEA1AA,2015.06,87987,
BDCQ.SEA1AA,2015.09,84529,
BDCQ.SEA1AA,2015.12,96848,
BDCQ.SEA1AA,2016.03,99291,
BDCQ.SEA1AA,2016.06,88716,
BDCQ.SEA1AA,2016.09,85933,
BDCQ.SEA1AA,2016.12,96540,
BDCQ.SEA1AA,2017.03,98994,
BDCQ.SEA1AA,2017.06,90510,
BDCQ.SEA1AA,2017.09,87089,
BDCQ.SEA1AA,2017.12,98933,
BDCQ.SEA1AA,2018.03,101168,
BDCQ.SEA1AA,2018.06,90766,
BDCQ.SEA1AA,2018.09,86929,
BDCQ.SEA1AA,2018.12,100290,
BDCQ.SEA1AA,2019.03,102031,
BDCQ.SEA1AA,2019.06,90836,
BDCQ.SEA1AA,2019.09,88032,
BDCQ.SEA1AA,2019.12,100531,
BDCQ.SEA1AA,2020.03,100947,
BDCQ.SEA1AA,2020.06,93239,
BDCQ.SEA1AA,2020.09,93706,
BDCQ.SEA1AA,2020.12,103593,
BDCQ.SEA1AA,2021.03,102002,
BDCQ.SEA1AA,2021.06,93431,
BDCQ.SEA1AA,2021.09,92353,
BDCQ.SEA1AA,2021.12,102896,
BDCQ.SEA1AA,2022.03,101092,
BDCQ.SEA1AA,2022.06,94757,
BDCQ.SEA1AA,2022.09,91674,
BDCQ.SEA1AA,2022.12,99680,
BDCQ.SEA1AA,2023.03,98706,
BDCQ.SEA1AA,2023.06,92576,
BDCQ.SEA1AA,2023.09,90647,
BDCQ.SEA1AA,2023.12,100561,
BDCQ.SEA1AS,2011.06,83851,
BDCQ.SEA1AS,2011.09,84142,
BDCQ.SEA1AS,2011.12,82663,
BDCQ.SEA1AS,2012.03,84321,
BDCQ.SEA1AS,2012.06,85700,
BDCQ.SEA1AS,2012.09,85208,
BDCQ.SEA1AS,2012.12,84420,
BDCQ.SEA1AS,2013.03,85085,
BDCQ.SEA1AS,2013.06,85658,
BDCQ.SEA1AS,2013.09,87742,
BDCQ.SEA1AS,2013.12,90098,
BDCQ.SEA1AS,2014.03,90413,
BDCQ.SEA1AS,2014.06,90030,
BDCQ.SEA1AS,2014.09,91075,
BDCQ.SEA1AS,2014.12,91007,
BDCQ.SEA1AS,2015.03,91515,
BDCQ.SEA1AS,2015.06,92019,
BDCQ.SEA1AS,2015.09,91354,
BDCQ.SEA1AS,2015.12,92546,
BDCQ.SEA1AS,2016.03,92749,
BDCQ.SEA1AS,2016.06,92577,
BDCQ.SEA1AS,2016.09,92917,
BDCQ.SEA1AS,2016.12,92189,
BDCQ.SEA1AS,2017.03,92659,
BDCQ.SEA1AS,2017.06,94322,
BDCQ.SEA1AS,2017.09,94193,
BDCQ.SEA1AS,2017.12,94258,
BDCQ.SEA1AS,2018.03,94949,
BDCQ.SEA1AS,2018.06,94742,
BDCQ.SEA1AS,2018.09,93680,
BDCQ.SEA1AS,2018.12,95349,
BDCQ.SEA1AS,2019.03,96218,
BDCQ.SEA1AS,2019.06,94960,
BDCQ.SEA1AS,2019.09,94301,
BDCQ.SEA1AS,2019.12,95421,
BDCQ.SEA1AS,2020.03,95882,
BDCQ.SEA1AS,2020.06,97444,
BDCQ.SEA1AS,2020.09,99590,
BDCQ.SEA1AS,2020.12,98454,
BDCQ.SEA1AS,2021.03,97564,
BDCQ.SEA1AS,2021.06,97301,
BDCQ.SEA1AS,2021.09,97672,
BDCQ.SEA1AS,2021.12,97973,
BDCQ.SEA1AS,2022.03,97223,
BDCQ.SEA1AS,2022.06,98218,
BDCQ.SEA1AS,2022.09,96741,
BDCQ.SEA1AS,2022.12,95119,
BDCQ.SEA1AS,2023.03,95161,
